country,SUBJECT,TIME,Value
RUS,HH,2013,22.90739
RUS,HH,2014,22.69565
RUS,HH,2015,23.31043
RUS,HH,2016,22.96999
RUS,HH,2017,24.41396
RUS,HH,2018,20.38589
RUS,OTHPRIVENT,2010,9.119001
RUS,OTHPRIVENT,2011,10.81263
RUS,OTHPRIVENT,2012,12.6497
RUS,OTHPRIVENT,2013,11.91042
RUS,OTHPRIVENT,2014,10.92128
RUS,OTHPRIVENT,2015,11.64153
RUS,OTHPRIVENT,2016,12.17294
RUS,OTHPRIVENT,2017,13.95781
RUS,OTHPRIVENT,2018,13.06526
SVN,HH,2005,16.76175
SVN,HH,2008,15.62663
SVN,HH,2009,10.46241
SVN,HH,2010,10.31251
SVN,HH,2011,9.296715
SVN,HH,2012,11.00909
SVN,HH,2013,10.10213
SVN,HH,2014,11.33992
SVN,HH,2016,11.70071
SVN,HH,2017,11.19523
SVN,HH,2018,7.129918
SVN,OTHPRIVENT,2005,6.051
SVN,OTHPRIVENT,2008,0.2296293
SVN,OTHPRIVENT,2009,4.046393
SVN,OTHPRIVENT,2010,4.537418
SVN,OTHPRIVENT,2011,4.584365
SVN,OTHPRIVENT,2012,2.381888
SVN,OTHPRIVENT,2013,2.264405
SVN,OTHPRIVENT,2014,2.320984
SVN,OTHPRIVENT,2015,2.349734
SVN,OTHPRIVENT,2016,2.262692
SVN,OTHPRIVENT,2017,1.794081
SVN,OTHPRIVENT,2018,3.92925
HUN,PUB,1995,80.25735
HUN,PUB,2000,76.67942
HUN,PUB,2012,54.43539
HUN,PUB,2013,61.18879
HUN,PUB,2014,69.67638
HUN,PUB,2015,62.94263
HUN,PUB,2016,62.80616
HUN,PUB,2017,65.45336
HUN,PUB,2018,67.67234
ITA,PUB,1995,82.92527
ITA,PUB,2000,77.15996
ITA,PUB,2005,72.17553
ITA,PUB,2008,69.37157
ITA,PUB,2009,67.31834
ITA,PUB,2010,66.07988
ITA,PUB,2011,64.46392
ITA,PUB,2012,64.19332
ITA,PUB,2013,65.01943
ITA,PUB,2014,63.24794
ITA,PUB,2015,61.71525
ITA,PUB,2016,60.97065
ITA,PUB,2017,61.82516
ITA,PUB,2018,61.88784
JPN,PRIV,2005,67.75842
JPN,PRIV,2010,65.64867
JPN,PRIV,2011,68.34653
JPN,PRIV,2012,67.41874
JPN,PRIV,2013,65.47763
JPN,PRIV,2014,66.20864
JPN,PRIV,2015,67.93802
JPN,PRIV,2016,69.44403
JPN,PRIV,2017,68.76874
JPN,PRIV,2018,67.86572
LUX,PUB,2012,92.51251
LUX,PUB,2013,95.87461
LUX,PUB,2014,93.34135
LUX,PUB,2015,92.39321
LUX,PUB,2016,91.85878
LUX,PUB,2017,88.8977
LUX,PUB,2018,90.11209
MEX,PRIV,1995,22.61257
MEX,PRIV,2000,20.60159
MEX,PRIV,2005,31.02091
MEX,PRIV,2008,29.86556
MEX,PRIV,2009,31.31123
MEX,PRIV,2010,30.11584
MEX,PRIV,2011,32.93738
MEX,PRIV,2013,29.67797
MEX,PRIV,2014,28.81742
MEX,PRIV,2015,29.13626
